,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee/official,1,none,yes,bad
634,between 0 & 200 DM,24,existing credits paid back duly till now,car (new),1355,"less, than 100 DM","less, than 1 year",3,female & divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled & resident,1,"yes, registered under the customers name",yes,bad
635,no checking account,12,existing credits paid back duly till now,education,1393,"less, than 100 DM","more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,"yes, registered under the customers name",yes,good
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,between 500 & 1000 DM,between 4 & 7 years,4,female & divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,good
637,no checking account,60,delay in paying off in the past,radio/television,15653,"less, than 100 DM",between 4 & 7 years,2,male & single,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,2,none,yes,good
639,"less, than 0 DM",42,delay in paying off in the past,radio/television,4370,"less, than 100 DM",between 4 & 7 years,3,male & single,none,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,bad
640,"less, than 0 DM",18,existing credits paid back duly till now,education,750,"less, than 100 DM",unemployed,4,female & divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled & non-resident,1,none,yes,bad
641,between 0 & 200 DM,15,existing credits paid back duly till now,repairs,1308,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",38,none,own,2,unskilled & resident,1,none,yes,good
642,no checking account,15,existing credits paid back duly till now,education,4623,between 100 & 500 DM,between 1 & 4 years,3,male & single,none,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
643,no checking account,24,critical account/other credits existing (not at this bank),radio/television,1851,"less, than 100 DM",between 4 & 7 years,4,male & married/widowed,guarantor,2,"car or other, not in attribute 6",33,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
644,"less, than 0 DM",18,critical account/other credits existing (not at this bank),radio/television,1880,"less, than 100 DM",between 4 & 7 years,4,male & married/widowed,none,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
645,no checking account,36,delay in paying off in the past,business,7980,unknown/no savings account,"less, than 1 year",4,male & single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
646,"less, than 0 DM",30,no credits taken/all credits paid back duly,furniture/equipment,4583,"less, than 100 DM",between 1 & 4 years,2,male & divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,none,yes,good
647,no checking account,12,existing credits paid back duly till now,car (new),1386,between 500 & 1000 DM,between 1 & 4 years,2,female & divorced/separated/married,none,2,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,bad
648,"more, than 200 DM",24,existing credits paid back duly till now,car (new),947,"less, than 100 DM",between 4 & 7 years,4,male & single,none,3,unknown/no property,38,bank,for free,1,skilled employee/official,2,none,yes,bad
649,"less, than 0 DM",12,existing credits paid back duly till now,education,684,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled & resident,2,none,yes,bad
650,"less, than 0 DM",48,existing credits paid back duly till now,education,7476,"less, than 100 DM",between 4 & 7 years,4,male & single,none,1,unknown/no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
651,between 0 & 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,building society savings agreement/life insurance,37,none,own,1,unskilled & resident,1,none,yes,bad
652,"less, than 0 DM",24,existing credits paid back duly till now,car (new),2303,"less, than 100 DM","more, than 7 years",4,male & single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,bad
653,between 0 & 200 DM,36,delay in paying off in the past,car (new),8086,between 100 & 500 DM,"more, than 7 years",2,male & single,none,4,"car or other, not in attribute 6",42,none,own,4,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
654,no checking account,24,critical account/other credits existing (not at this bank),car (used),2346,"less, than 100 DM",between 4 & 7 years,4,male & single,none,3,"car or other, not in attribute 6",35,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
655,"less, than 0 DM",14,existing credits paid back duly till now,car (new),3973,"less, than 100 DM",unemployed,1,male & single,none,4,unknown/no property,22,none,for free,1,skilled employee/official,1,none,yes,good
656,between 0 & 200 DM,12,existing credits paid back duly till now,car (new),888,"less, than 100 DM","more, than 7 years",4,male & single,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled & resident,2,none,yes,bad
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings account,between 4 & 7 years,4,male & single,none,3,"car or other, not in attribute 6",37,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
658,between 0 & 200 DM,30,no credits taken/all credits paid back duly,business,4221,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,none,yes,good
659,between 0 & 200 DM,18,critical account/other credits existing (not at this bank),furniture/equipment,6361,"less, than 100 DM","more, than 7 years",2,male & single,none,1,unknown/no property,41,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
660,"more, than 200 DM",12,existing credits paid back duly till now,radio/television,1297,"less, than 100 DM",between 1 & 4 years,3,male & married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,good
661,"less, than 0 DM",12,existing credits paid back duly till now,car (new),900,unknown/no savings account,between 1 & 4 years,4,male & married/widowed,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,none,yes,bad
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,"less, than 100 DM","more, than 7 years",4,male & single,none,2,real estate,50,none,own,2,skilled employee/official,1,none,yes,good
663,between 0 & 200 DM,6,delay in paying off in the past,furniture/equipment,1050,"less, than 100 DM",unemployed,4,male & single,none,1,building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
664,"more, than 200 DM",6,critical account/other credits existing (not at this bank),education,1047,"less, than 100 DM",between 1 & 4 years,2,female & divorced/separated/married,none,4,building society savings agreement/life insurance,50,none,own,1,unskilled & resident,1,none,yes,good
665,no checking account,24,critical account/other credits existing (not at this bank),others,6314,"less, than 100 DM",unemployed,4,male & single,co-applicant,2,unknown/no property,27,bank,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
666,between 0 & 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,"more, than 1000 DM",between 1 & 4 years,4,male & single,none,2,"car or other, not in attribute 6",34,stores,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,good
667,no checking account,48,all credits at this bank paid back duly,business,3609,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee/official,1,none,yes,good
668,"less, than 0 DM",12,critical account/other credits existing (not at this bank),car (new),4843,"less, than 100 DM","more, than 7 years",3,male & single,co-applicant,4,building society savings agreement/life insurance,43,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
669,"more, than 200 DM",30,critical account/other credits existing (not at this bank),radio/television,3017,"less, than 100 DM","more, than 7 years",4,male & single,none,4,building society savings agreement/life insurance,47,none,own,1,skilled employee/official,1,none,yes,good
670,no checking account,24,critical account/other credits existing (not at this bank),business,4139,between 100 & 500 DM,between 1 & 4 years,3,male & single,none,3,building society savings agreement/life insurance,27,none,own,2,unskilled & resident,1,"yes, registered under the customers name",yes,good
671,no checking account,36,existing credits paid back duly till now,business,5742,between 100 & 500 DM,between 4 & 7 years,2,male & single,none,2,"car or other, not in attribute 6",31,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
